,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,0,-1.359807134,-0.072781173,2.536346738,1.3781552240000001,-0.33832077,0.46238777799999997,0.239598554,0.09869790099999999,0.36378697,0.09079417199999999,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.25141209800000003,-0.018306778,0.27783757600000003,-0.11047391,0.066928075,0.12853935800000002,-0.18911484399999998,0.133558377,-0.021053053,149.62,0.0
1,0,1.191857111,0.266150712,0.166480113,0.44815407799999996,0.060017649000000006,-0.08236080900000001,-0.078802983,0.085101655,-0.255425128,-0.16697441400000002,1.612726661,1.065235311,0.489095016,-0.143772296,0.635558093,0.46391704100000003,-0.114804663,-0.18336127,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.10128802099999999,-0.339846476,0.167170404,0.125894532,-0.008983099,0.014724168999999999,2.69,0.0
2,1,-1.3583540619999999,-1.340163075,1.7732093430000002,0.37977959299999997,-0.5031981329999999,1.8004993809999998,0.791460956,0.24767578699999998,-1.514654323,0.207642865,0.624501459,0.066083685,0.7172927309999999,-0.165945923,2.345864949,-2.890083194,1.109969379,-0.12135931300000001,-2.261857095,0.524979725,0.247998153,0.7716794020000001,0.909412262,-0.689280956,-0.32764183399999997,-0.139096572,-0.055352794000000004,-0.05975184099999999,378.66,0.0
3,1,-0.9662717120000001,-0.185226008,1.79299334,-0.863291275,-0.01030888,1.247203168,0.23760894,0.377435875,-1.3870240630000001,-0.054951922,-0.226487264,0.17822822600000002,0.50775687,-0.287923745,-0.6314181179999999,-1.059647245,-0.6840927859999999,1.965775003,-1.23262197,-0.208037781,-0.10830045199999999,0.005273597,-0.190320519,-1.175575332,0.647376035,-0.221928844,0.062722849,0.06145762900000001,123.5,0.0
4,2,-1.158233093,0.877736755,1.5487178469999998,0.403033934,-0.407193377,0.095921462,0.592940745,-0.270532677,0.8177393079999999,0.753074432,-0.822842878,0.53819555,1.3458515930000001,-1.119669835,0.17512113,-0.451449183,-0.23703323899999998,-0.038194787,0.803486925,0.40854236,-0.009430697,0.798278495,-0.13745808,0.141266984,-0.20600958800000002,0.502292224,0.21942223,0.215153147,69.99,0.0
5,2,-0.42596588399999996,0.960523045,1.141109342,-0.16825208,0.42098688100000003,-0.029727552,0.476200949,0.260314333,-0.5686713760000001,-0.371407197,1.34126198,0.35989383700000005,-0.358090653,-0.13713370000000003,0.517616807,0.401725896,-0.058132823,0.06865314900000001,-0.033193787999999995,0.084967672,-0.208253515,-0.559824796,-0.026397668,-0.371426583,-0.232793817,0.105914779,0.253844225,0.081080257,3.67,0.0
6,4,1.229657635,0.141003507,0.045370774,1.202612737,0.19188098899999997,0.272708123,-0.005159003,0.08121294,0.464959995,-0.09925432099999999,-1.416907243,-0.153825826,-0.751062716,0.167371963,0.05014359400000001,-0.44358679799999995,0.0028205120000000003,-0.61198734,-0.045575045,-0.219632553,-0.167716266,-0.27070972600000004,-0.154103787,-0.780055415,0.750136936,-0.257236846,0.03450743,0.005167769,4.99,0.0
7,7,-0.644269442,1.417963545,1.074380376,-0.492199018,0.948934095,0.42811846299999995,1.120631358,-3.8078642389999997,0.6153747310000001,1.249376178,-0.619467796,0.291474353,1.757964214,-1.32386522,0.686132504,-0.076126999,-1.222127345,-0.35822157,0.324504731,-0.156741852,1.94346534,-1.01545471,0.05750353,-0.649709006,-0.415266566,-0.051634297,-1.206921081,-1.085339188,40.8,0.0
8,7,-0.894286082,0.286157196,-0.11319221300000001,-0.27152613,2.66959866,3.7218180610000005,0.370145128,0.851084443,-0.39204758700000003,-0.410430433,-0.705116587,-0.110452262,-0.286253632,0.07435536,-0.32878305,-0.210077268,-0.499767969,0.118764861,0.570328167,0.052735669000000006,-0.07342510000000001,-0.26809163199999997,-0.20423267,1.011591802,0.37320468,-0.384157308,0.011747356,0.14240433,93.2,0.0
9,9,-0.338261752,1.1195933759999999,1.044366552,-0.222187277,0.499360806,-0.246761101,0.651583206,0.069538587,-0.736727316,-0.366845639,1.0176144679999999,0.83638957,1.006843514,-0.443522817,0.150219101,0.739452777,-0.540979922,0.47667726,0.451772964,0.203711455,-0.246913937,-0.633752642,-0.12079408400000001,-0.385049925,-0.06973304599999999,0.09419883400000001,0.246219305,0.083075649,3.68,0.0
10,10,1.4490437809999999,-1.176338825,0.913859833,-1.375666655,-1.971383165,-0.629152139,-1.423235601,0.048455887999999996,-1.720408393,1.6266590580000002,1.19964395,-0.671439778,-0.5139471529999999,-0.095045045,0.23093040899999998,0.031967467,0.25341471600000004,0.854343814,-0.22136541399999998,-0.387226474,-0.009301897,0.31389441100000004,0.027740157999999997,0.5005122870000001,0.251367359,-0.129477954,0.042849871,0.016253262,7.8,0.0
11,10,0.384978215,0.616109459,-0.8742997029999999,-0.094018626,2.924584378,3.317027168,0.470454672,0.538247228,-0.558894612,0.30975539399999996,-0.25911556399999996,-0.326143234,-0.09004672300000001,0.362832369,0.928903661,-0.129486811,-0.809978926,0.35998539,0.707663826,0.125991576,0.049923685999999995,0.238421512,0.009129869,0.99671021,-0.767314827,-0.492208295,0.042472442,-0.054337388,9.99,0.0
12,10,1.249998742,-1.221636809,0.383930151,-1.234898688,-1.485419474,-0.753230165,-0.689404975,-0.227487228,-2.0940105730000003,1.323729274,0.22766623100000002,-0.24268199899999998,1.205416808,-0.317630527,0.72567499,-0.815612186,0.8739364479999999,-0.847788599,-0.683192626,-0.10275594199999999,-0.23180923899999997,-0.48328533,0.08466769099999999,0.392830885,0.161134554,-0.35499004,0.026415549,0.042422089,121.5,0.0
13,11,1.069373588,0.287722129,0.828612727,2.71252043,-0.17839801600000002,0.33754373,-0.09671686199999999,0.115981736,-0.221082566,0.46023044399999996,-0.773656931,0.323387245,-0.011075887,-0.178485175,-0.655564278,-0.199925171,0.124005415,-0.980496202,-0.982916082,-0.153197231,-0.036875532,0.074412403,-0.07140743299999999,0.10474375300000001,0.548264725,0.10409415300000001,0.021491057999999997,0.021293311000000002,27.5,0.0
14,12,-2.791854766,-0.32777075699999997,1.641750161,1.767472744,-0.136588446,0.807596468,-0.42291139,-1.907107476,0.755712908,1.1510869879999999,0.844555471,0.792943952,0.370448093,-0.7349751059999999,0.40679571,-0.30305762399999997,-0.155868715,0.778265457,2.221868014,-1.5821220440000001,1.151663048,0.222181966,1.020586204,0.028316651,-0.23274632399999998,-0.235557218,-0.164777512,-0.030153637,58.8,0.0
15,12,-0.752417043,0.345485415,2.057322913,-1.4686432980000002,-1.15839368,-0.07784982900000001,-0.608581418,0.003603484,-0.436166984,0.747730827,-0.793980603,-0.7704067290000001,1.047626997,-1.066603681,1.1069534570000001,1.6601135569999999,-0.279265373,-0.419994141,0.43253534899999996,0.263450864,0.499624955,1.353650486,-0.25657328,-0.065083708,-0.039124354,-0.08708647300000001,-0.18099749999999998,0.129394059,15.99,0.0
16,12,1.103215435,-0.040296215,1.2673320890000002,1.28909147,-0.735997164,0.288069163,-0.586056786,0.18937971399999998,0.782332892,-0.267975067,-0.45031128,0.936707715,0.708380406,-0.468647288,0.354574063,-0.246634656,-0.009212378,-0.5959124060000001,-0.5756816220000001,-0.11391017699999999,-0.024612006000000002,0.196001953,0.013801653999999998,0.103758331,0.364297541,-0.38226057399999996,0.09280918699999999,0.037050517000000005,12.99,0.0
17,13,-0.43690507100000003,0.9189662129999999,0.924590774,-0.7272190540000001,0.915678718,-0.127867352,0.707641607,0.087962355,-0.665271354,-0.7379798240000001,0.324097813,0.27719210699999997,0.252624256,-0.29189646,-0.18452016899999998,1.143173707,-0.928709263,0.680469593,0.025436462000000003,-0.047021282000000005,-0.19479582399999998,-0.672637997,-0.156857514,-0.8883863209999999,-0.342413219,-0.049026729000000005,0.079692399,0.131023789,0.89,0.0
18,14,-5.401257662999999,-5.450147834,1.1863046309999998,1.7362388,3.049105878,-1.763405574,-1.559737699,0.16084174699999998,1.23308974,0.345172827,0.917229868,0.9701167159999999,-0.266567765,-0.479129929,-0.526608503,0.47200411200000003,-0.725480945,0.075081352,-0.40686657299999995,-2.196848025,-0.503600329,0.984459786,2.458588576,0.042118897,-0.48163082399999996,-0.621272014,0.39205329,0.949594246,46.8,0.0
19,15,1.492935977,-1.0293457320000001,0.454794734,-1.43802588,-1.555434101,-0.720961147,-1.08066413,-0.053127118,-1.978681595,1.6380760369999998,1.0775424120000001,-0.632046515,-0.416957167,0.052010515,-0.042978922999999995,-0.16643249599999999,0.30424141899999996,0.554432499,0.054229515,-0.38791017299999997,-0.17764984600000003,-0.175073809,0.040002219,0.295813863,0.332930599,-0.22038485100000002,0.022298436,0.007602256,5.0,0.0
20,16,0.694884776,-1.3618191030000002,1.02922104,0.8341592990000001,-1.191208794,1.309108819,-0.8785859109999999,0.44529012799999995,-0.446195832,0.568520735,1.0191506129999999,1.298328701,0.420480265,-0.37265099700000004,-0.8079795129999999,-2.044557483,0.5156634689999999,0.6258472979999999,-1.300408169,-0.13833394,-0.29558293199999996,-0.571955007,-0.05088070099999999,-0.304214501,0.07200100599999999,-0.42223443,0.086553398,0.063498649,231.71,0.0
21,17,0.96249607,0.328461026,-0.171479054,2.109204068,1.1295655709999999,1.696037686,0.10771160699999999,0.5215021639999999,-1.191311102,0.724396315,1.690329921,0.406773576,-0.9364212959999999,0.9837394190000001,0.7109107659999999,-0.602231772,0.40248437600000003,-1.737162035,-2.027612322,-0.26932096699999997,0.143997423,0.402491661,-0.048508221,-1.371866295,0.390813885,0.19996365800000002,0.016370643,-0.014605328,34.09,0.0
22,18,1.166616382,0.502120088,-0.067300314,2.261569239,0.428804195,0.08947351699999999,0.24114658,0.138081705,-0.989162395,0.922174967,0.744785789,-0.53137725,-2.10534645,1.126870105,0.003075323,0.42442450600000003,-0.45447529200000003,-0.09887062699999999,-0.816597307,-0.307168509,0.018701871999999998,-0.061972267000000004,-0.10385492199999999,-0.37041517700000004,0.603200339,0.10855587300000001,-0.040520706000000004,-0.011417815,2.28,0.0
23,18,0.247491128,0.27766562699999997,1.185470842,-0.09260255,-1.314393979,-0.150115998,-0.94636495,-1.617935051,1.544071402,-0.8298806009999999,-0.583199527,0.5249332320000001,-0.453375297,0.081393088,1.555204196,-1.396894893,0.7831308379999999,0.436621214,2.177807168,-0.230983143,1.6501803609999999,0.20045409100000003,-0.185352508,0.42307314799999995,0.820591262,-0.227631864,0.336634447,0.250475352,22.75,0.0
